Attributes,workday|05/00,weekend|05/00,workday|06/00,weekend|06/00,workday|07/00,weekend|07/00,workday|08/00,weekend|08/00,workday|09/00,weekend|09/00,workday|10/00,weekend|10/00,workday|11/00,weekend|11/00,workday|12/00,weekend|12/00,workday|13/00,weekend|13/00,workday|14/00,weekend|14/00,workday|15/00,weekend|15/00,workday|16/00,weekend|16/00,workday|17/00,weekend|17/00,workday|18/00,weekend|18/00,workday|19/00,weekend|19/00,workday|20/00,weekend|20/00,workday|21/00,weekend|21/00,workday|22/00,weekend|22/00,workday_psm,weekend_psm,entire_psm
Motorway,0.119***,0.099***,0.119***,0.13***,0.12***,0.096***,0.123***,0.116***,0.107***,0.116***,0.126***,0.118***,0.101***,0.094***,0.103***,0.099***,0.106***,0.111***,0.116***,0.098***,0.12***,0.097***,0.107***,0.098***,0.096***,0.099***,0.118***,0.087***,0.102***,0.122***,0.111***,0.088***,0.103***,0.095***,0.112***,0.129***,0.11***,0.1***,0.105***
Primary roads,0.067**,0.079***,0.074***,0.093***,0.072***,0.082***,0.063***,0.078***,0.057**,0.087***,0.065***,0.073***,0.067***,0.053**,0.055**,0.081***,0.054**,0.078***,0.061***,0.073***,0.067***,0.068***,0.062**,0.065***,0.072***,0.073***,0.078***,0.065***,0.077***,0.076***,0.059**,0.075***,0.093***,0.073***,0.101***,0.073***,0.07***,0.074***,0.072***
Secondary roads,-0.002,-0.013,-0.009,0.01,0.003,-0.022,0.0,-0.001,0.011,0.012,0.022,0.002,0.019,-0.008,0.027,-0.007,0.015,-0.01,0.013,-0.01,0.02,0.004,0.012,-0.002,0.018,-0.011,0.016,0.001,0.017,0.017,0.006,0.006,0.008,0.017,0.009,0.006,0.012,0.003,0.006
Tertiary roads,0.131***,0.113***,0.128***,0.109***,0.123***,0.117***,0.149***,0.072***,0.163***,0.078***,0.167***,0.071***,0.169***,0.076***,0.172***,0.058***,0.172***,0.039*,0.163***,0.05**,0.16***,0.052**,0.156***,0.094***,0.163***,0.093***,0.161***,0.092***,0.175***,0.078***,0.145***,0.081***,0.139***,0.076***,0.16***,0.079***,0.157***,0.082***,0.12***
Pedestrian roads,-0.118***,-0.092***,-0.135***,-0.125***,-0.143***,-0.134***,-0.113***,-0.129***,-0.081***,-0.112***,-0.067***,-0.123***,-0.041*,-0.124***,-0.042*,-0.084***,-0.053**,-0.099***,-0.054**,-0.096***,-0.053**,-0.104***,-0.08***,-0.116***,-0.074***,-0.094***,-0.06**,-0.092***,-0.079***,-0.132***,-0.088***,-0.136***,-0.097***,-0.125***,-0.096***,-0.106***,-0.081***,-0.109***,-0.096***
Roads diversity,0.088***,0.102***,0.069**,0.043,0.052**,0.065**,0.046*,0.056**,0.047*,0.027,0.028,0.028,0.062**,0.039*,0.062***,0.042*,0.052**,0.04*,0.062***,0.048**,0.053**,0.054**,0.055**,0.059**,0.049**,0.064***,0.064**,0.066***,0.063**,0.047*,0.085***,0.064**,0.074***,0.076***,0.072***,0.084***,0.062***,0.063***,0.063***
Toll Station,-0.114**,-0.071,-0.081,-0.082,-0.083,-0.062,-0.084*,-0.071,-0.09*,-0.064,-0.063,-0.061,-0.083*,-0.03,-0.082*,-0.056,-0.062,-0.04,-0.082*,-0.072,-0.088*,-0.07,-0.087*,-0.084*,-0.112**,-0.059,-0.135***,-0.067,-0.093*,-0.066,-0.126**,-0.03,-0.096*,-0.048,-0.132**,-0.098*,-0.093*,-0.057,-0.076*
Bus Station,-0.03,-0.023,-0.033,-0.031,-0.048*,-0.032,-0.046*,-0.061**,-0.061**,-0.033,-0.069***,-0.058**,-0.047*,-0.051**,-0.047**,-0.036,-0.041*,-0.048**,-0.053**,-0.059***,-0.05**,-0.042*,-0.049*,-0.053**,-0.06**,-0.055**,-0.041,-0.055**,-0.046*,-0.025,-0.048*,-0.032,-0.034,-0.042,-0.026,-0.036,-0.045*,-0.035,-0.041*
Airport,-0.113,-0.212*,-0.151,-0.154,-0.144,-0.244**,-0.098,-0.305***,-0.195**,-0.313***,-0.154,-0.311***,-0.107,-0.171*,-0.047,-0.217**,-0.05,-0.058,0.015,0.051,0.007,-0.065,-0.08,-0.137,-0.056,-0.267***,-0.132,-0.041,-0.131,0.02,-0.031,-0.18*,-0.119,-0.237**,-0.09,-0.168,-0.092,-0.163*,-0.128
Train Station,0.022,0.027,0.036,0.068,0.034,0.028,0.055,0.065,0.036,0.08,0.032,0.032,0.049,0.055,0.01,0.068,0.037,0.061,0.006,0.049,0.033,0.073,0.064,0.008,0.044,0.021,0.072,0.061,0.075,0.034,0.072,0.042,0.073,0.056,0.02,0.09,0.043,0.051,0.047
Port,-0.059,0.056,-0.03,-0.027,0.0,-0.088,0.024,-0.079,0.037,-0.095,0.011,-0.043,0.041,-0.012,0.089,-0.029,0.077,-0.049,0.083,-0.057,0.063,-0.003,0.043,-0.023,0.044,0.006,0.015,-0.019,-0.017,-0.081,-0.036,-0.042,-0.043,-0.096,-0.001,-0.017,0.02,-0.034,-0.007
Subway Station,-0.047,-0.04,-0.051,-0.059,-0.038,-0.049,-0.03,-0.064**,-0.02,-0.081***,0.002,-0.053*,-0.001,-0.034,0.026,-0.047,0.024,-0.029,0.023,-0.054*,0.023,-0.025,0.016,-0.017,0.017,-0.033,0.023,-0.019,0.013,-0.027,0.005,-0.052,-0.003,-0.031,-0.024,-0.021,-0.003,-0.041,-0.022
Highway Service,-0.058,-0.03,0.002,-0.038,-0.008,0.006,-0.03,-0.021,-0.033,-0.082,-0.022,-0.033,-0.031,-0.041,0.017,-0.013,0.025,-0.068,-0.011,-0.112**,0.019,-0.041,0.001,-0.022,-0.003,-0.005,0.015,-0.009,-0.005,-0.09,0.007,-0.051,0.02,-0.014,-0.047,0.023,-0.007,-0.034,-0.021
Observations,1676.0,1647.0,1684.0,1672.0,1684.0,1671.0,1686.0,1671.0,1683.0,1668.0,1681.0,1669.0,1681.0,1673.0,1682.0,1670.0,1683.0,1667.0,1684.0,1669.0,1685.0,1673.0,1685.0,1674.0,1686.0,1675.0,1684.0,1676.0,1682.0,1666.0,1681.0,1669.0,1679.0,1661.0,1675.0,1649.0,1687.0,1684.0,1687.0
R2,0.067,0.062,0.066,0.057,0.065,0.066,0.068,0.067,0.069,0.060,0.071,0.060,0.077,0.050,0.084,0.047,0.078,0.050,0.081,0.050,0.074,0.047,0.068,0.059,0.067,0.064,0.080,0.052,0.083,0.058,0.078,0.057,0.077,0.061,0.080,0.067,0.081,0.067,0.075
MSE,0.025,0.025,0.024,0.024,0.022,0.022,0.020,0.019,0.019,0.018,0.018,0.017,0.019,0.017,0.019,0.016,0.019,0.016,0.019,0.016,0.020,0.017,0.021,0.018,0.021,0.017,0.021,0.018,0.021,0.020,0.021,0.021,0.021,0.021,0.023,0.021,0.018,0.016,0.017
